Obs,State,Date,Total Assets - Assets Less Than $1 Billion,Total Deposits - Assets Less Than $1 Billion
1,3,9,California,09/30/2023,396708.0,20882.0,375827.0,321663.0,17068.0,304595.0,,None,None,,None,None
2,6,California,06/30/2022,None,None,,None,None
3,9,California,09/30/2023,20882.0,17068.0,,None,None
4,California,03/31/2022,20076.0,17027.0
5,California,03/31/2023,19398.0,15943.0
6,California,06/30/2022,19245.0,16176.0
7,California,06/30/2023,19771.0,16196.0
8,California,09/30/2022,18373.0,15599.0
9,California,09/30/2023,20882.0,17068.0
10,California,12/31/2022,20290.0,16813.0
11,California,12/31/2023,21413.0,17168.0
12,Massachusetts,03/31/2022,24835.0,21316.0
13,Massachusetts,03/31/2023,22967.0,19256.0
14,Massachusetts,06/30/2022,24763.0,21299.0
15,Massachusetts,06/30/2023,23197.0,19260.0
16,Massachusetts,09/30/2022,24812.0,21180.0
17,Massachusetts,09/30/2023,23382.0,19425.0
18,Massachusetts,12/31/2022,22692.0,19053.0
19,Massachusetts,12/31/2023,22769.0,18320.0
20,New York,03/31/2022,11582.0,10026.0
21,New York,03/31/2023,13240.0,11186.0
22,New York,06/30/2022,12873.0,11098.0
23,New York,06/30/2023,12980.0,10914.0
24,New York,09/30/2022,12109.0,10387.0
25,New York,09/30/2023,13292.0,11109.0
26,New York,12/31/2022,12822.0,10839.0
27,New York,12/31/2023,13096.0,10777.0
28,North Carolina,03/31/2022,9256.0,8091.0
29,North Carolina,03/31/2023,7648.0,6580.0
30,North Carolina,06/30/2022,7422.0,6526.0
31,North Carolina,06/30/2023,7205.0,6159.0
32,North Carolina,09/30/2022,6482.0,5626.0
33,North Carolina,09/30/2023,7333.0,6285.0
34,North Carolina,12/31/2022,7537.0,6484.0
35,North Carolina,12/31/2023,7457.0,6376.0
36,Texas,03/31/2022,59209.0,52613.0
37,Texas,03/31/2023,57643.0,50575.0
38,Texas,06/30/2022,58839.0,52706.0
39,Texas,06/30/2023,57121.0,49489.0
40,Texas,09/30/2022,57894.0,51879.0
41,Texas,09/30/2023,58101.0,50541.0
42,Texas,12/31/2022,57857.0,51474.0
43,Texas,12/31/2023,60715.0,52536.0
44,Utah,03/31/2022,6461.0,5353.0
45,Utah,03/31/2023,5560.0,4322.0
46,Utah,06/30/2022,6723.0,5579.0
47,Utah,06/30/2023,5833.0,4576.0
48,Utah,09/30/2022,6155.0,5012.0
49,Utah,09/30/2023,6220.0,4898.0
50,Utah,12/31/2022,6370.0,5107.0
51,Utah,12/31/2023,7413.0,5857.0
